Stations,latitude,longitude
Alexandria,-33.90532,151.19727
Bringelly,-33.91766,150.76192
Camden,-34.04168,150.69013
Campbelltown West,-34.06666,150.79558
Chullora,-33.89156,151.0461
Cook and Phillip,-33.87288,151.21323
Earlwood,-33.91619,151.13577
Lidcombe,-33.88143,151.04676
Lindfield,-33.78113,151.1509
Liverpool,-33.93132,150.90727
Macarthur,-34.07087,150.78218
Macquarie Park,-33.76524,151.1178
Parramatta North,-33.7995,150.99777
Penrith,-33.72687,150.70385
Prospect,-33.79424,150.91417
Randwick,-33.93175,151.24278
Richmond,-33.61641,150.74731
Rouse Hill,-33.68275,150.90366
Rozelle,-33.86433,151.16395
St Marys,-33.79512,150.76677
Vineyard,-33.65623,150.84768
Oakdale,-34.0517,150.4982
Bargo,-34.3062,150.5806
