Year,Baseline deaths (annual),Short-term AD mean,Short-term AD 2.5%,Short-term AD 97.5%,Long-term AD mean,Long-term AD 2.5%,Long-term AD 97.5%,Short-term % of baseline (mean),Long-term % of baseline (mean)
2000,23745.960000000003,753.7997967668732,660.1361068326173,849.388736570446,2739.3719809057184,1842.039796575655,3591.318959414381,3.1744338690323457,11.536160175902419
2001,22321.535,827.1008464413063,721.080265250244,933.1047570992065,3461.753878503606,2537.3678040987006,4337.495455049528,3.705394124737866,15.508583430770356
2002,22703.688000000002,980.7881742761845,846.782139039393,1113.408970316472,4028.326099106993,3042.002402556765,4978.46637442932,4.319950900823621,17.74304729305209
2003,22382.888,824.7517757731962,713.7073366951402,936.1033284148145,3294.9013531006153,2390.5481685617015,4182.26355053661,3.684742450452311,14.720626547836972
2004,22099.116,874.9234310485732,762.0266927332689,988.6037352762685,3230.332508228103,2254.554930819089,4183.307084135911,3.959087915772618,14.617473876457787
2005,21246.624999999996,802.0862303548466,698.9705749730704,906.0579962388571,2870.7718000302248,1937.5291502913387,3786.945434282133,3.775123015325242,13.51166032266407
2006,21366.591999999997,801.5042558611013,698.4087576034686,905.3218334254267,2912.583015420343,1940.3114894742514,3861.667548727836,3.7512030737569257,13.631481405272043
2007,21566.079999999998,719.5800234406167,629.270545489004,811.1460745015755,2578.0755140590377,1687.610993668566,3427.39530706145,3.336628740320989,11.954307477571435
2008,21810.464,626.9714524044991,547.1736749098645,707.9034304046429,2267.1402455325847,1524.8323138082435,3001.8688622619215,2.8746360114323983,10.394736423455203
2009,21220.523,778.3529302856291,669.5921308854339,885.0104033501628,2990.7552130330605,2026.1414955724872,3981.3094007985974,3.6679252923484924,14.093692285685233
2010,21017.47,594.9074446765557,521.044263276209,669.6942385320672,2092.709932520966,1327.0997590199077,2814.197067484746,2.8305378557769116,9.957002115482814
2011,22846.664000000004,592.5255082281105,518.8030743091542,667.5296704716523,2121.6742291253277,1383.226640244023,2826.34700773915,2.5934880831096847,9.28658218602649
2012,22524.06,627.4348129175439,548.1546324582006,707.9733974725683,2288.05685663108,1567.0310126785964,2981.2408081197723,2.7856204117621064,10.158278998684429
2013,21105.432,656.3725628700699,571.1179423677926,742.0833901143343,2648.8832121334344,1924.602023893482,3347.649132603619,3.109969807157086,12.550717806361103
2014,22240.165,648.3112756041937,565.1553374399766,732.0843600746016,2539.1463166304493,1750.9116716187948,3291.415099193487,2.915047058347785,11.416940101975184
2015,21584.0,598.6536619164675,522.5614981607899,675.8945746251856,2391.6860825555054,1661.562493037679,3088.0221047000773,2.7735992490570216,11.080828773885774
2016,20747.750000000004,609.3491536963675,531.1913012501223,688.3012279901791,2389.4052348688033,1639.4788494198901,3111.9955440677286,2.936940890922473,11.516454723373874
2017,22038.148,694.7075379366255,606.412401067914,784.1020406020274,2504.6823899219157,1652.7766743047923,3336.4092581861555,3.1522954557552905,11.365212675411362
2018,20548.096,731.7382508093835,633.339930691722,829.7226528795446,2677.8518246701556,1798.3827532604103,3556.971393609055,3.5611000202129843,13.032116575035252
2019,21831.487,923.9700298001225,785.4747131806766,1059.8678126901973,3912.3466514979787,2913.84585031881,4947.661344977011,4.232281703028852,17.92066042729008
2020,21349.284,664.771888100512,571.9463334171652,756.8408033893329,2643.2996287131077,1868.4662321227058,3419.2116538224986,3.113790083548057,12.381209733839823
2021,22558.847999999998,539.8289523655735,470.0087268507708,610.3579331542813,2016.1871901297147,1402.7507404603045,2613.725083614252,2.3929810261834894,8.93745633699786
2022,25507.507999999998,459.84406454730134,402.4166044826634,517.6855728285551,1544.4219642783617,970.5872350083852,2092.8749915236895,1.8027792622756458,6.054774007238817
2023,25441.127999999997,731.4677152085737,635.9908544198164,827.2393435806159,2672.313413261024,1762.0528707293834,3576.2612217573383,2.875138693569616,10.50391088500881
2024,25375.39,690.9465193351019,602.1749802784232,780.8128911398969,2401.817714802662,1498.4791225100028,3288.270264114404,2.7229000986195757,9.465146012741723
2025,25300.179999999997,683.522360610948,593.5184567831573,773.9893960706372,2383.676400924037,1505.644114385893,3248.2140765380477,2.701650188302803,9.421578822459118
